epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,780.746,1.65422,2.46083,1.01217,0.95792,0.88006,0.9135,0.67925,0.96608,0.65372,0.82012,0.000369791,0.000369791,0.000369791
2,1453.04,1.16065,0.9601,0.85982,0.98006,0.92517,0.96127,0.72128,0.94895,0.58542,0.82025,0.00072547,0.00072547,0.00072547
3,2112.1,1.1022,0.87175,0.84888,0.97554,0.93608,0.96111,0.73067,0.92287,0.54601,0.81716,0.00106648,0.00106648,0.00106648
4,2764.6,1.03441,0.79275,0.83854,0.96672,0.94007,0.96538,0.75097,0.90797,0.53623,0.81517,0.00104501,0.00104501,0.00104501
5,3386.54,0.98263,0.73768,0.8312,0.97763,0.94408,0.96846,0.75792,0.90904,0.51799,0.81655,0.00102301,0.00102301,0.00102301
6,3998.27,0.94955,0.70525,0.82718,0.97157,0.94758,0.96828,0.74329,0.9249,0.51623,0.81813,0.00100101,0.00100101,0.00100101
7,4615.17,0.90214,0.65512,0.8204,0.97774,0.95172,0.9691,0.76954,0.86626,0.48501,0.81549,0.000979013,0.000979013,0.000979013
8,5213.5,0.86635,0.62007,0.81508,0.97774,0.94749,0.96396,0.75891,0.89219,0.48221,0.81278,0.000957015,0.000957015,0.000957015
9,5810.72,0.83891,0.59768,0.81124,0.96867,0.93659,0.9642,0.75705,0.89371,0.50206,0.81527,0.000935018,0.000935018,0.000935018
10,6421.87,0.81764,0.57216,0.80825,0.97673,0.94672,0.97115,0.75748,0.89214,0.48462,0.816,0.00091302,0.00091302,0.00091302
11,7025.74,0.7935,0.5516,0.80512,0.98117,0.95137,0.97457,0.76299,0.90797,0.47132,0.81525,0.000891022,0.000891022,0.000891022
