epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.0965,0.90884,0.52188,0.84969,0.98121,0.95726,0.97536,0.7836,0.86134,0.44693,0.81923,0.067569,0.000327586,0.000327586
2,58.749,0.88384,0.48364,0.83843,0.98317,0.95478,0.97527,0.77962,0.88514,0.43776,0.8203,0.0345559,0.000647833,0.000647833
3,87.9901,0.89108,0.47939,0.84182,0.97864,0.95782,0.97534,0.78229,0.8787,0.42417,0.81959,0.00152959,0.00095488,0.00095488
4,117.267,0.88918,0.48285,0.84963,0.9775,0.95407,0.97535,0.77553,0.91172,0.43429,0.8215,0.0009406,0.0009406,0.0009406
5,146.661,0.86841,0.47709,0.8355,0.98937,0.94505,0.97404,0.76816,0.93039,0.43875,0.82331,0.0009208,0.0009208,0.0009208
6,176.267,0.88074,0.47237,0.84354,0.98293,0.95365,0.9753,0.78012,0.87017,0.4235,0.81795,0.000901,0.000901,0.000901
7,206.399,0.86424,0.4648,0.83763,0.98352,0.95541,0.97496,0.77789,0.89087,0.42075,0.82,0.0008812,0.0008812,0.0008812
8,236.835,0.87453,0.47212,0.83952,0.98498,0.95526,0.97488,0.77571,0.88664,0.42004,0.82031,0.0008614,0.0008614,0.0008614
9,267.43,0.86401,0.46344,0.84021,0.98694,0.95129,0.97557,0.77971,0.87615,0.42982,0.8182,0.0008416,0.0008416,0.0008416
10,297.7,0.85916,0.46516,0.83966,0.9804,0.95463,0.97486,0.77018,0.91139,0.43659,0.82056,0.0008218,0.0008218,0.0008218
11,328.081,0.85703,0.46134,0.83588,0.97137,0.9607,0.97461,0.75724,0.99067,0.44256,0.82678,0.000802,0.000802,0.000802
