epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.6383,0.9263,0.53201,0.84745,0.98218,0.94328,0.97022,0.77776,0.86926,0.48973,0.81928,0.0676471,0.000326797,0.000326797
2,64.0033,0.89013,0.49932,0.84169,0.98333,0.959,0.97683,0.78814,0.82745,0.43087,0.81729,0.034634,0.00064706,0.00064706
3,96.3011,0.8816,0.47753,0.84162,0.97771,0.95372,0.97419,0.78537,0.85013,0.43952,0.81864,0.00160772,0.000954123,0.000954123
4,128.501,0.88607,0.48489,0.84428,0.9899,0.95181,0.97595,0.75755,0.96148,0.45131,0.82614,0.0009406,0.0009406,0.0009406
5,161.127,0.87583,0.47967,0.84254,0.98738,0.9551,0.97474,0.75885,0.96557,0.45244,0.82652,0.0009208,0.0009208,0.0009208
6,194.102,0.88679,0.47876,0.84157,0.97435,0.96106,0.97629,0.77603,0.89487,0.42785,0.82057,0.000901,0.000901,0.000901
7,227.224,0.8671,0.46043,0.83788,0.97884,0.96221,0.97721,0.78218,0.86436,0.42154,0.81925,0.0008812,0.0008812,0.0008812
8,260.503,0.87908,0.46783,0.84447,0.97325,0.96334,0.97563,0.77861,0.86766,0.42415,0.81875,0.0008614,0.0008614,0.0008614
9,294.082,0.86295,0.46253,0.84025,0.98603,0.95248,0.97607,0.7827,0.85396,0.41569,0.8176,0.0008416,0.0008416,0.0008416
10,327.689,0.88049,0.46927,0.83989,0.97891,0.95159,0.97556,0.781,0.86844,0.42557,0.8191,0.0008218,0.0008218,0.0008218
11,361.161,0.85181,0.46105,0.83383,0.98298,0.9514,0.97622,0.78879,0.86159,0.42063,0.81825,0.000802,0.000802,0.000802
12,395.975,0.86477,0.4506,0.83888,0.97891,0.95444,0.97705,0.76798,0.93348,0.43321,0.82441,0.0007822,0.0007822,0.0007822
13,429.449,0.86109,0.46008,0.83749,0.97555,0.95541,0.97603,0.76954,0.91478,0.43685,0.82195,0.0007624,0.0007624,0.0007624
14,462.961,0.86036,0.45675,0.83757,0.96938,0.96426,0.97755,0.77403,0.90827,0.43174,0.82219,0.0007426,0.0007426,0.0007426
15,496.681,0.84973,0.4546,0.83915,0.97024,0.96538,0.97707,0.77433,0.91002,0.42908,0.82141,0.0007228,0.0007228,0.0007228
16,530.421,0.85254,0.44981,0.83796,0.98486,0.95222,0.97718,0.77382,0.91747,0.42939,0.82373,0.000703,0.000703,0.000703
17,565.45,0.86199,0.45445,0.83641,0.98077,0.95542,0.97579,0.78269,0.8641,0.42263,0.81857,0.0006832,0.0006832,0.0006832
18,599.088,0.848,0.45474,0.83598,0.97944,0.96185,0.97654,0.76746,0.91766,0.42508,0.82195,0.0006634,0.0006634,0.0006634
19,632.774,0.85116,0.44955,0.83525,0.98155,0.95443,0.97725,0.7771,0.8934,0.42197,0.82057,0.0006436,0.0006436,0.0006436
20,666.475,0.84917,0.44943,0.83082,0.97188,0.96379,0.97704,0.7684,0.93362,0.43047,0.824,0.0006238,0.0006238,0.0006238
21,700.313,0.84484,0.4526,0.83859,0.97482,0.96071,0.97582,0.74877,1.01157,0.44417,0.82855,0.000604,0.000604,0.000604
22,734.19,0.86167,0.45062,0.83813,0.9793,0.95593,0.97479,0.75053,1.00603,0.44784,0.8296,0.0005842,0.0005842,0.0005842
23,767.945,0.82923,0.44569,0.8361,0.97987,0.9561,0.97663,0.77225,0.90954,0.42273,0.8207,0.0005644,0.0005644,0.0005644
24,801.642,0.83394,0.44281,0.83644,0.9734,0.96028,0.97408,0.77556,0.90105,0.42398,0.82022,0.0005446,0.0005446,0.0005446
25,835.44,0.83364,0.43482,0.83448,0.96915,0.96356,0.97588,0.7808,0.87018,0.4286,0.81814,0.0005248,0.0005248,0.0005248
26,869.264,0.83699,0.44101,0.83498,0.96998,0.96162,0.97555,0.79616,0.81503,0.40986,0.81363,0.000505,0.000505,0.000505
27,903.272,0.84452,0.44369,0.83627,0.98482,0.94996,0.97531,0.77645,0.87638,0.41851,0.81857,0.0004852,0.0004852,0.0004852
28,937.071,0.82597,0.43164,0.83729,0.98192,0.95374,0.97585,0.77912,0.87351,0.41762,0.81765,0.0004654,0.0004654,0.0004654
29,971.144,0.84816,0.44043,0.83324,0.97596,0.956,0.97585,0.78064,0.87626,0.42606,0.81761,0.0004456,0.0004456,0.0004456
30,1005.07,0.8428,0.43837,0.83872,0.97145,0.96277,0.97539,0.77758,0.88617,0.41835,0.81914,0.0004258,0.0004258,0.0004258
31,1038.91,0.84565,0.4394,0.83617,0.97687,0.96357,0.97628,0.78037,0.86693,0.41239,0.81814,0.000406,0.000406,0.000406
32,1073.06,0.83172,0.43387,0.83228,0.97984,0.95916,0.97696,0.78926,0.82793,0.41859,0.81585,0.0003862,0.0003862,0.0003862
33,1107.52,0.82348,0.42634,0.83227,0.97237,0.9642,0.97601,0.7864,0.84911,0.41139,0.81697,0.0003664,0.0003664,0.0003664
34,1141.48,0.83133,0.42803,0.83358,0.98052,0.95816,0.97684,0.77944,0.8946,0.4192,0.8197,0.0003466,0.0003466,0.0003466
35,1175.4,0.83758,0.43377,0.83274,0.98162,0.95479,0.97646,0.77321,0.90497,0.41702,0.82074,0.0003268,0.0003268,0.0003268
36,1209.51,0.82596,0.42968,0.8356,0.98289,0.95422,0.9757,0.77293,0.90987,0.42559,0.82094,0.000307,0.000307,0.000307
37,1243.54,0.83015,0.42808,0.83312,0.97972,0.95879,0.97645,0.77875,0.89409,0.414,0.81959,0.0002872,0.0002872,0.0002872
38,1277.65,0.83126,0.42959,0.83098,0.98351,0.95623,0.97712,0.7674,0.94099,0.42035,0.82329,0.0002674,0.0002674,0.0002674
39,1311.7,0.82953,0.42724,0.83071,0.97641,0.95764,0.97567,0.77298,0.90691,0.41971,0.82085,0.0002476,0.0002476,0.0002476
40,1345.62,0.83665,0.43415,0.83253,0.97513,0.96497,0.9772,0.76577,0.94395,0.42572,0.82411,0.0002278,0.0002278,0.0002278
41,1379.65,0.82913,0.4262,0.83366,0.97854,0.95867,0.9768,0.76285,0.94088,0.42331,0.82358,0.000208,0.000208,0.000208
