epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.3377,2.9865,7.27514,1.4804,0.3298,0.59132,0.40461,0.08154,3.10643,2.29144,1.31597,0.000364966,0.000364966,0.000364966
2,117.773,1.62497,1.32282,0.94273,0.93207,0.89032,0.92,0.6032,1.34863,0.84335,0.8851,0.00072802,0.00072802,0.00072802
3,177.639,1.44988,0.9883,0.91097,0.94765,0.90875,0.93333,0.58528,1.38852,0.82878,0.88463,0.00108374,0.00108374,0.00108374
4,237.984,1.43078,0.94158,0.90661,0.96833,0.89888,0.94216,0.66467,1.14198,0.77905,0.8509,0.001078,0.001078,0.001078
5,299.142,1.336,0.85109,0.88725,0.91601,0.86247,0.9088,0.45186,1.92981,1.08359,1.05778,0.001067,0.001067,0.001067
6,360.39,1.28156,0.75696,0.88212,0.95978,0.91018,0.95698,0.6039,1.37107,0.72245,0.86913,0.00105601,0.00105601,0.00105601
7,421.834,1.2308,0.73123,0.86937,0.96586,0.92575,0.94699,0.63956,1.33421,0.73582,0.88139,0.00104501,0.00104501,0.00104501
8,483.587,1.20233,0.70752,0.865,0.98476,0.94139,0.95921,0.67665,1.16796,0.61761,0.84037,0.00103401,0.00103401,0.00103401
9,545.504,1.13828,0.67341,0.85761,0.96972,0.9403,0.95967,0.70455,1.05038,0.60641,0.83424,0.00102301,0.00102301,0.00102301
10,607.588,1.15921,0.66626,0.85773,0.97822,0.93441,0.96065,0.68534,1.14723,0.59545,0.83927,0.00101201,0.00101201,0.00101201
11,669.7,1.16478,0.6683,0.85833,0.96648,0.94307,0.95874,0.59205,1.47209,0.71046,0.88247,0.00100101,0.00100101,0.00100101
12,731.925,1.14989,0.65652,0.85325,0.97098,0.93608,0.9608,0.62068,1.52187,0.73504,0.90187,0.000990012,0.000990012,0.000990012
13,793.929,1.18319,0.65309,0.85628,0.98041,0.95004,0.97052,0.72243,1.05926,0.55132,0.83421,0.000979013,0.000979013,0.000979013
14,856.479,1.06015,0.59489,0.84254,0.97847,0.94073,0.96826,0.74146,0.98178,0.54242,0.82215,0.000968014,0.000968014,0.000968014
15,918.754,1.08919,0.61506,0.84622,0.98137,0.9521,0.96982,0.73567,0.99784,0.56633,0.82689,0.000957015,0.000957015,0.000957015
16,981.156,1.04197,0.60646,0.83925,0.96305,0.95283,0.96708,0.7186,1.04048,0.54676,0.82801,0.000946016,0.000946016,0.000946016
17,1043.48,1.04782,0.59082,0.84106,0.97527,0.94225,0.96812,0.73674,0.96696,0.56158,0.82104,0.000935018,0.000935018,0.000935018
18,1105.74,1.04249,0.57323,0.84604,0.96772,0.94393,0.96439,0.62684,1.38984,0.60528,0.86643,0.000924019,0.000924019,0.000924019
19,1167.99,1.04135,0.56289,0.83993,0.97572,0.95472,0.97403,0.69908,1.10639,0.55591,0.83065,0.00091302,0.00091302,0.00091302
20,1230.33,1.01699,0.56696,0.83879,0.98018,0.95052,0.9746,0.75499,0.9456,0.52587,0.81571,0.000902021,0.000902021,0.000902021
21,1292.79,0.98721,0.54611,0.83777,0.97871,0.9543,0.97026,0.7018,1.11955,0.54417,0.83155,0.000891022,0.000891022,0.000891022
22,1355.35,1.01698,0.55747,0.83385,0.98625,0.95171,0.97302,0.76009,0.93194,0.52454,0.81595,0.000880023,0.000880023,0.000880023
23,1417.97,1.02355,0.55148,0.8366,0.9878,0.95481,0.9747,0.73915,1.01933,0.51899,0.82503,0.000869024,0.000869024,0.000869024
