epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.9322,2.55292,6.24552,1.35647,0,0,0,0,nan,nan,nan,0.0704,0.00328889,0.00328889
2,106.804,1.78683,1.57894,1.01446,0,0,0,0,6.44067,76.8516,6.11915,0.0403344,0.00655666,0.00655666
3,156.613,1.58501,1.43329,0.97676,0.13659,0.11977,0.0626,0.00847,3.96711,7.68509,1.62082,0.0102029,0.00975844,0.00975844
4,207.425,1.57761,1.30517,0.96753,0.55268,0.29114,0.31229,0.07245,3.29409,8.07273,1.32068,0.009703,0.009703,0.009703
5,258.365,1.47948,1.1939,0.95124,0.80176,0.67918,0.72572,0.42198,1.43073,2.09993,0.89631,0.009604,0.009604,0.009604
6,309.644,1.49866,1.16879,0.94542,0.87643,0.7825,0.86147,0.58207,1.28346,1.07752,0.88342,0.009505,0.009505,0.009505
7,361.104,1.37918,1.07702,0.92825,0.82706,0.80426,0.82724,0.6118,1.1245,1.45765,0.86013,0.009406,0.009406,0.009406
8,412.705,1.34306,0.97049,0.91789,0.797,0.85716,0.87766,0.39351,2.26263,1.08839,1.01419,0.009307,0.009307,0.009307
9,464.215,1.36373,0.96189,0.92423,0.90562,0.85392,0.8972,0.56178,1.4541,0.89497,0.89629,0.009208,0.009208,0.009208
10,515.83,1.28022,0.90614,0.91406,0.90982,0.87544,0.91051,0.65065,1.108,0.81876,0.85625,0.009109,0.009109,0.009109
11,567.818,1.28888,0.88393,0.9113,0.90796,0.88371,0.91906,0.67174,1.10245,0.79081,0.85281,0.00901,0.00901,0.00901
12,619.72,1.23968,0.86427,0.89515,0.89767,0.84505,0.86505,0.61491,1.18706,0.88496,0.86463,0.008911,0.008911,0.008911
13,671.519,1.23039,0.83762,0.90177,0.87866,0.90505,0.91974,0.66395,1.12834,0.72498,0.85386,0.008812,0.008812,0.008812
14,723.314,1.29459,0.85465,0.91953,0.91329,0.89008,0.90111,0.54704,1.62854,0.84869,0.91637,0.008713,0.008713,0.008713
15,775.337,1.20962,0.80952,0.89859,0.84918,0.89206,0.91922,0.52046,1.6013,0.85934,0.9,0.008614,0.008614,0.008614
16,827.186,1.19461,0.79845,0.89076,0.96401,0.88694,0.93013,0.67136,1.1225,0.70617,0.85699,0.008515,0.008515,0.008515
17,879.383,1.21856,0.78199,0.89077,0.89845,0.85329,0.92063,0.62078,1.25326,0.81597,0.86571,0.008416,0.008416,0.008416
18,931.3,1.18521,0.75317,0.88693,0.90279,0.84437,0.86433,0.59774,1.22858,1.73076,0.87012,0.008317,0.008317,0.008317
19,983.178,1.12776,0.73684,0.88682,0.93576,0.86193,0.91212,0.69899,0.97817,0.76162,0.83768,0.008218,0.008218,0.008218
20,1035.36,1.13824,0.74576,0.87874,0.93301,0.90255,0.91948,0.65522,1.12016,0.72791,0.844,0.008119,0.008119,0.008119
21,1087.57,1.17073,0.73965,0.88283,0.93706,0.90325,0.93213,0.65279,1.18065,0.74517,0.86243,0.00802,0.00802,0.00802
22,1139.56,1.14477,0.7262,0.88262,0.9527,0.87861,0.92636,0.57903,1.43106,0.74553,0.87676,0.007921,0.007921,0.007921
23,1191.45,1.11093,0.70488,0.87619,0.93932,0.89883,0.94405,0.70813,1.04172,0.63062,0.83826,0.007822,0.007822,0.007822
24,1243.7,1.1172,0.73115,0.87926,0.91729,0.91516,0.93757,0.71927,0.95881,0.65372,0.82967,0.007723,0.007723,0.007723
25,1295.83,1.10593,0.70338,0.87754,0.93799,0.91733,0.93828,0.67609,1.15886,0.61378,0.84639,0.007624,0.007624,0.007624
26,1347.9,1.1055,0.67343,0.87715,0.97322,0.90488,0.9567,0.71198,1.08196,0.61893,0.84667,0.007525,0.007525,0.007525
27,1400,1.1163,0.66569,0.87258,0.92694,0.90243,0.94105,0.71859,0.97261,0.64929,0.82818,0.007426,0.007426,0.007426
28,1452.12,1.10642,0.6624,0.87136,0.95441,0.92509,0.9463,0.65854,1.293,0.74588,0.87275,0.007327,0.007327,0.007327
29,1504.13,1.07298,0.64984,0.87419,0.88322,0.89759,0.93352,0.6187,1.3826,0.76866,0.87131,0.007228,0.007228,0.007228
30,1556.35,1.09818,0.65855,0.87323,0.95532,0.90613,0.94877,0.5629,1.54228,0.69092,0.88723,0.007129,0.007129,0.007129
31,1608.42,1.07499,0.65533,0.86819,0.95923,0.91541,0.95523,0.7332,0.96605,0.58032,0.83257,0.00703,0.00703,0.00703
32,1660.87,1.05105,0.63709,0.86886,0.9743,0.91773,0.96181,0.72915,1.00525,0.57914,0.83453,0.006931,0.006931,0.006931
33,1712.95,1.06312,0.63615,0.86545,0.96507,0.92431,0.95284,0.7236,0.9819,0.59062,0.83842,0.006832,0.006832,0.006832
34,1765.1,1.07256,0.62865,0.86618,0.94977,0.91771,0.94861,0.66426,1.24622,0.65405,0.85302,0.006733,0.006733,0.006733
35,1817.19,1.09456,0.616,0.87507,0.94431,0.9241,0.94401,0.591,1.50164,0.6727,0.88438,0.006634,0.006634,0.006634
36,1869.2,1.08647,0.64165,0.86769,0.95375,0.89604,0.95473,0.72477,1.02063,0.61648,0.83449,0.006535,0.006535,0.006535
37,1921.39,1.03969,0.61808,0.86506,0.96928,0.94491,0.96039,0.75448,0.92932,0.55079,0.82538,0.006436,0.006436,0.006436
38,1973.73,1.01311,0.60478,0.86207,0.97848,0.9283,0.959,0.70912,1.13012,0.6425,0.85266,0.006337,0.006337,0.006337
39,2025.8,1.03189,0.62164,0.85679,0.94744,0.92216,0.94715,0.73373,0.97254,0.57887,0.82877,0.006238,0.006238,0.006238
40,2077.97,1.03328,0.61119,0.86158,0.92219,0.93471,0.95652,0.71915,1.0493,0.62289,0.83645,0.006139,0.006139,0.006139
