epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.5125,2.66314,6.66,1.39498,0.00046,0.07917,0.00045,8e-05,nan,nan,nan,0.0704687,0.00328125,0.00328125
2,102.784,1.75837,1.57824,1.00454,0.02738,0.00417,0.00895,0.0022,5.48786,inf,5.02619,0.0404033,0.0065491,0.0065491
3,151.088,1.67918,1.46861,0.99624,0.01096,0.01944,0.00158,0.00016,4.74157,33.8797,3.11309,0.0102718,0.00975095,0.00975095
4,200.176,1.59076,1.46386,0.97339,0.65643,0.75123,0.80771,0.42875,1.99297,2.26789,0.99775,0.009703,0.009703,0.009703
5,249.677,1.53644,1.25123,0.95824,0.76603,0.77397,0.78266,0.47892,1.42379,1.34063,0.8976,0.009604,0.009604,0.009604
6,299.388,1.42912,1.12061,0.93424,0.78389,0.79679,0.80584,0.52961,1.26776,1.14556,0.8813,0.009505,0.009505,0.009505
7,349.414,1.32076,1.02253,0.92108,0.49285,0.57544,0.51168,0.36261,1.35064,3.84493,0.90346,0.009406,0.009406,0.009406
8,399.341,1.36817,0.99497,0.92492,0.81889,0.85334,0.88649,0.49359,1.64129,1.1061,0.91884,0.009307,0.009307,0.009307
9,449.16,1.31729,0.95934,0.91871,0.88674,0.73752,0.85131,0.61055,1.069,1.07205,0.8507,0.009208,0.009208,0.009208
10,499.46,1.2592,0.91371,0.90065,0.90355,0.82676,0.90583,0.55855,1.46261,0.91329,0.89544,0.009109,0.009109,0.009109
11,549.467,1.27426,0.87967,0.90431,0.88451,0.86263,0.89464,0.56146,1.60468,0.99557,0.94864,0.00901,0.00901,0.00901
12,599.582,1.24196,0.85106,0.89989,0.93072,0.90728,0.92608,0.56234,1.55745,0.80377,0.90591,0.008911,0.008911,0.008911
13,649.872,1.20037,0.79837,0.88951,0.8915,0.87921,0.90796,0.67951,1.129,0.83944,0.85957,0.008812,0.008812,0.008812
14,700.214,1.21781,0.80499,0.89431,0.80352,0.86507,0.91178,0.62441,1.21187,1.00829,0.86475,0.008713,0.008713,0.008713
15,750.514,1.21249,0.80646,0.89745,0.95349,0.89117,0.93052,0.63072,1.22132,0.751,0.86068,0.008614,0.008614,0.008614
16,800.873,1.17077,0.77981,0.89575,0.90296,0.85097,0.88613,0.56416,1.40895,1.0839,0.88442,0.008515,0.008515,0.008515
17,851.294,1.17917,0.75847,0.88546,0.9138,0.87423,0.92096,0.6525,1.24493,0.73542,0.86561,0.008416,0.008416,0.008416
18,901.63,1.17149,0.77849,0.88587,0.93203,0.90978,0.9486,0.69961,1.06898,0.68599,0.84749,0.008317,0.008317,0.008317
19,952.269,1.1524,0.76009,0.88447,0.90289,0.88571,0.92759,0.66954,1.14851,0.7232,0.86134,0.008218,0.008218,0.008218
20,1002.71,1.15318,0.74069,0.88042,0.94489,0.87198,0.90608,0.63991,1.20461,0.7671,0.8721,0.008119,0.008119,0.008119
21,1053.09,1.13794,0.72351,0.87781,0.93032,0.87456,0.90394,0.59286,1.37457,0.79938,0.89287,0.00802,0.00802,0.00802
22,1103.47,1.13122,0.72458,0.88295,0.94708,0.89591,0.93448,0.61572,1.55171,0.78207,0.92083,0.007921,0.007921,0.007921
