epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.525,2.15505,2.40874,1.13138,0.22285,0.25293,0.08679,0.02765,3.09539,4.59258,1.48152,0.0702679,0.00330357,0.00330357
2,313.357,1.68399,1.41451,0.99065,0.20688,0.26917,0.17357,0.05365,3.39637,13.0137,1.47784,0.0401364,0.00650549,0.00650549
3,466.519,1.62195,1.37567,0.9739,0.33753,0.25744,0.21744,0.03531,3.71679,3.82543,1.57263,0.00987304,0.00957542,0.00957542
4,617.111,1.46848,1.17777,0.94996,0.67178,0.45669,0.57081,0.40265,1.36938,2.41569,0.89086,0.009406,0.009406,0.009406
5,790.108,1.46311,1.09471,0.95045,0.63172,0.53461,0.53711,0.36235,1.33543,1.31239,0.89246,0.009208,0.009208,0.009208
6,939.828,1.40856,1.0115,0.93557,0.75132,0.38852,0.41342,0.28998,1.30864,1.59535,0.89082,0.00901,0.00901,0.00901
7,1098.52,1.41982,0.94367,0.93494,0.79821,0.61655,0.63252,0.22311,2.5703,1.41055,1.07867,0.008812,0.008812,0.008812
8,1285.61,1.30495,0.89968,0.91877,0.79687,0.40824,0.45322,0.33785,1.08192,0.83048,0.85271,0.008614,0.008614,0.008614
9,1454.84,1.23171,0.83328,0.901,0.93884,0.66377,0.69802,0.51069,1.10873,0.89932,0.8477,0.008416,0.008416,0.008416
10,1657.05,1.22304,0.80945,0.89603,0.87195,0.59976,0.67266,0.50665,1.04835,0.94817,0.85327,0.008218,0.008218,0.008218
11,1837.85,1.25408,0.82803,0.89827,0.94282,0.63124,0.68111,0.47009,1.28953,0.79726,0.87145,0.00802,0.00802,0.00802
12,2039.78,1.23864,0.79655,0.89947,0.94931,0.76859,0.81445,0.51958,1.28871,0.72861,0.86475,0.007822,0.007822,0.007822
13,2238.18,1.21573,0.77662,0.89546,0.93902,0.54011,0.61881,0.41949,1.30349,0.71221,0.86797,0.007624,0.007624,0.007624
14,2419.82,1.19454,0.75519,0.89,0.95567,0.8783,0.92022,0.62816,1.30257,0.74479,0.87041,0.007426,0.007426,0.007426
15,2614.29,1.18503,0.71873,0.89132,0.94872,0.83721,0.88931,0.61686,1.22068,0.67181,0.86023,0.007228,0.007228,0.007228
16,2764.58,1.15683,0.71973,0.89123,0.94339,0.91271,0.9288,0.65482,1.14162,0.65738,0.84824,0.00703,0.00703,0.00703
17,2926.07,1.14344,0.72821,0.8874,0.89273,0.8292,0.91963,0.66573,1.1634,0.8256,0.85678,0.006832,0.006832,0.006832
18,3063.54,1.10907,0.6864,0.88159,0.97513,0.8996,0.94501,0.71132,0.99814,0.61872,0.83286,0.006634,0.006634,0.006634
19,3212.43,1.14223,0.7025,0.88081,0.94772,0.86157,0.94687,0.55849,1.6547,0.78508,0.90299,0.006436,0.006436,0.006436
20,3342.49,1.08804,0.66506,0.87486,0.95631,0.93272,0.95092,0.73553,0.94788,0.59617,0.83026,0.006238,0.006238,0.006238
21,3498.66,1.08647,0.64395,0.87664,0.98074,0.9084,0.95214,0.72264,0.98221,0.56915,0.83544,0.00604,0.00604,0.00604
22,3620.68,1.07525,0.64979,0.87024,0.95474,0.92459,0.95028,0.73575,0.93245,0.55239,0.82737,0.005842,0.005842,0.005842
23,3750.88,1.04418,0.61652,0.86711,0.97204,0.91825,0.95444,0.73461,0.93986,0.56369,0.82864,0.005644,0.005644,0.005644
24,3880.82,1.0721,0.62357,0.87021,0.95247,0.93003,0.94935,0.70835,1.06612,0.60442,0.84537,0.005446,0.005446,0.005446
25,4004.87,1.06896,0.61826,0.87352,0.89738,0.89471,0.95406,0.72371,1.01508,0.63072,0.83375,0.005248,0.005248,0.005248
26,4127.74,1.05131,0.60127,0.86736,0.96619,0.92061,0.95496,0.73594,0.94358,0.53208,0.82801,0.00505,0.00505,0.00505
27,4241.87,1.04207,0.59191,0.87114,0.9736,0.93156,0.95831,0.75984,0.90009,0.53832,0.82551,0.004852,0.004852,0.004852
28,4356.54,1.02198,0.59089,0.86159,0.968,0.93066,0.95802,0.7334,0.98285,0.51644,0.82946,0.004654,0.004654,0.004654
29,4474.08,1.02587,0.59331,0.8648,0.95976,0.93247,0.9544,0.74302,0.94399,0.58648,0.8316,0.004456,0.004456,0.004456
30,4590.54,1.01821,0.58019,0.86023,0.95911,0.93102,0.95853,0.70032,1.07319,0.55327,0.83822,0.004258,0.004258,0.004258
31,4709.98,0.99967,0.57348,0.85652,0.96737,0.9397,0.96079,0.72762,0.98334,0.51893,0.82757,0.00406,0.00406,0.00406
32,4829.69,1.01589,0.56744,0.85769,0.96219,0.94756,0.96386,0.7578,0.90969,0.53939,0.82585,0.003862,0.003862,0.003862
33,4946.34,1.00453,0.55695,0.85205,0.98041,0.93452,0.96259,0.74225,0.95979,0.51155,0.82773,0.003664,0.003664,0.003664
34,5063.15,0.98396,0.54744,0.85619,0.96331,0.93326,0.96284,0.69527,1.1661,0.54844,0.84362,0.003466,0.003466,0.003466
35,5186.33,0.95942,0.52402,0.85513,0.9775,0.94365,0.96793,0.75099,0.98123,0.49281,0.8284,0.003268,0.003268,0.003268
36,5309.29,0.96388,0.54725,0.85038,0.96428,0.93278,0.95802,0.76017,0.89189,0.51264,0.82063,0.00307,0.00307,0.00307
37,5426.62,0.94574,0.51964,0.84841,0.97501,0.94894,0.966,0.75814,0.90069,0.48395,0.82206,0.002872,0.002872,0.002872
38,5551.13,0.95634,0.52566,0.85017,0.9796,0.95096,0.96999,0.75624,0.91011,0.48863,0.8238,0.002674,0.002674,0.002674
39,5671.65,0.94829,0.51171,0.85493,0.97213,0.94927,0.96964,0.74071,0.99087,0.47498,0.8247,0.002476,0.002476,0.002476
40,5785.5,0.93199,0.49147,0.8506,0.9514,0.95027,0.96941,0.73743,1.01916,0.51181,0.82895,0.002278,0.002278,0.002278
41,5903.74,0.9263,0.49875,0.84522,0.97994,0.93693,0.96752,0.76566,0.88038,0.46611,0.81866,0.00208,0.00208,0.00208
42,6017.99,0.91617,0.48405,0.85094,0.9708,0.94361,0.97086,0.77013,0.8782,0.46724,0.81816,0.001882,0.001882,0.001882
43,6135.15,0.89517,0.47997,0.84164,0.97058,0.95089,0.97,0.77858,0.8534,0.45591,0.81576,0.001684,0.001684,0.001684
44,6253.67,0.90673,0.47957,0.84274,0.96849,0.95387,0.97081,0.75967,0.93677,0.45841,0.82178,0.001486,0.001486,0.001486
45,6367.88,0.88457,0.46613,0.84297,0.95965,0.9587,0.97042,0.76769,0.89542,0.46154,0.8196,0.001288,0.001288,0.001288
46,6483.68,0.8919,0.4602,0.84732,0.96468,0.95637,0.96901,0.75202,0.96105,0.45427,0.82235,0.00109,0.00109,0.00109
47,6596.34,0.87081,0.45157,0.84151,0.97678,0.94935,0.97192,0.75847,0.94275,0.45402,0.82029,0.000892,0.000892,0.000892
48,6707.44,0.8642,0.4458,0.83833,0.98437,0.94402,0.97059,0.78539,0.83255,0.44078,0.81288,0.000694,0.000694,0.000694
49,6818.97,0.84673,0.43718,0.83846,0.96824,0.95031,0.97076,0.75624,0.95217,0.4467,0.8209,0.000496,0.000496,0.000496
50,6930.62,0.83216,0.42823,0.83669,0.97917,0.94945,0.97329,0.78103,0.86753,0.43223,0.81445,0.000298,0.000298,0.000298
