epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,395.89,2.05455,2.53723,1.17891,0,0,0,0,2.80105,449.923,1.50545,0.0704,0.00328889,0.00328889
2,746.736,1.65729,1.61499,1.03339,0.73567,0.1655,0.44628,0.1933,2.33046,11.5153,1.12034,0.0402689,0.0064911,0.0064911
3,1027.32,1.55154,1.51073,0.99678,0.78568,0.49909,0.6652,0.38856,1.8134,15.6273,0.96394,0.0100058,0.00956132,0.00956132
4,1366.33,1.49937,1.4073,0.98685,0.76921,0.44219,0.63317,0.44488,1.42405,3.58472,0.89946,0.009406,0.009406,0.009406
5,1759.87,1.45957,1.26384,0.97587,0.72797,0.3914,0.59991,0.3836,1.59177,1.68462,0.92024,0.009208,0.009208,0.009208
6,2147.51,1.39326,1.17711,0.9574,0.81962,0.23195,0.4891,0.34836,1.30691,1.80255,0.88073,0.00901,0.00901,0.00901
7,2404.37,1.33855,1.1167,0.94694,0.89328,0.30934,0.56757,0.41532,1.21343,0.98864,0.86599,0.008812,0.008812,0.008812
8,2712.98,1.29068,1.00319,0.93584,0.83119,0.34088,0.59,0.42963,1.2664,1.0171,0.87769,0.008614,0.008614,0.008614
9,2983.22,1.27797,0.96547,0.92648,0.76754,0.28806,0.55748,0.40465,1.25967,1.21189,0.87005,0.008416,0.008416,0.008416
10,3259.54,1.26214,0.93036,0.92606,0.87722,0.23701,0.54943,0.39922,1.24333,1.93883,0.8683,0.008218,0.008218,0.008218
11,3575.84,1.22995,0.90336,0.92199,0.83112,0.31027,0.56362,0.38577,1.28501,1.01702,0.86181,0.00802,0.00802,0.00802
12,3932.14,1.19912,0.85104,0.91426,0.80637,0.39301,0.61977,0.48534,1.08545,0.9491,0.84571,0.007822,0.007822,0.007822
13,4248.11,1.19826,0.85299,0.90976,0.93543,0.37353,0.63768,0.50107,1.10828,0.86816,0.84502,0.007624,0.007624,0.007624
14,4537.62,1.19109,0.84441,0.90781,0.9352,0.42332,0.65015,0.47124,1.30729,0.76952,0.88257,0.007426,0.007426,0.007426
15,4906.7,1.17048,0.79261,0.90281,0.93459,0.37066,0.6285,0.48114,1.09965,0.7077,0.848,0.007228,0.007228,0.007228
16,5230.25,1.15987,0.8098,0.90566,0.81124,0.45288,0.66678,0.52532,1.05694,0.94715,0.83861,0.00703,0.00703,0.00703
17,5543.35,1.16432,0.77234,0.90708,0.89919,0.61912,0.78804,0.59554,1.11732,0.77444,0.84842,0.006832,0.006832,0.006832
18,5684.94,1.13551,0.75644,0.89729,0.86583,0.74335,0.83104,0.64022,1.05971,0.93632,0.83979,0.006634,0.006634,0.006634
19,5829.28,1.11959,0.74021,0.89601,0.94292,0.8573,0.91032,0.7196,0.97685,0.67313,0.82726,0.006436,0.006436,0.006436
20,5961.16,1.13325,0.74018,0.90249,0.95487,0.8475,0.90635,0.69173,1.0865,0.67741,0.84112,0.006238,0.006238,0.006238
21,6080.99,1.1148,0.74318,0.89293,0.95077,0.88933,0.9338,0.69047,1.16372,0.75704,0.84791,0.00604,0.00604,0.00604
22,6207.88,1.1159,0.70377,0.89639,0.9174,0.84025,0.90984,0.7104,1.05007,0.76954,0.83831,0.005842,0.005842,0.005842
23,6325.15,1.10932,0.72567,0.89301,0.96083,0.91734,0.94659,0.7332,1.01548,0.66536,0.83534,0.005644,0.005644,0.005644
24,6449.08,1.09511,0.6965,0.89182,0.90461,0.86242,0.9201,0.69669,1.05002,0.7684,0.83112,0.005446,0.005446,0.005446
25,6563.22,1.07203,0.66873,0.88645,0.948,0.91912,0.94377,0.74024,0.98198,0.61503,0.82476,0.005248,0.005248,0.005248
26,6679.37,1.08294,0.67111,0.88714,0.96079,0.93552,0.95278,0.75435,0.97738,0.58424,0.82652,0.00505,0.00505,0.00505
27,6789.44,1.06769,0.66484,0.88308,0.97567,0.91857,0.9539,0.74586,0.99402,0.61225,0.83289,0.004852,0.004852,0.004852
28,6899.04,1.06345,0.66467,0.88032,0.91733,0.91989,0.94613,0.75294,0.96263,0.66288,0.82485,0.004654,0.004654,0.004654
29,7015.82,1.04175,0.62665,0.87927,0.96736,0.90772,0.95951,0.73109,1.07326,0.62888,0.83904,0.004456,0.004456,0.004456
30,7128.93,1.04357,0.62643,0.87689,0.96492,0.91321,0.95561,0.76544,0.9074,0.61259,0.81619,0.004258,0.004258,0.004258
31,7242.17,1.02397,0.60515,0.87357,0.95112,0.93706,0.96028,0.75725,0.96495,0.57954,0.82409,0.00406,0.00406,0.00406
32,7355.47,1.0199,0.59272,0.87146,0.97271,0.93203,0.95637,0.76396,0.94565,0.55388,0.82099,0.003862,0.003862,0.003862
33,7466.55,1.01644,0.6009,0.87348,0.95268,0.93695,0.95824,0.7599,0.95655,0.57539,0.82216,0.003664,0.003664,0.003664
