epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.744,2.02067,2.48274,1.16809,0,0,0,0,4.88255,1001.88,4.87556,0.0703371,0.00329588,0.00329588
2,331.595,1.63132,1.57566,1.02183,0.57052,0.29642,0.43457,0.15108,2.54432,4.90523,1.17033,0.0402058,0.00649796,0.00649796
3,480.166,1.53743,1.4938,0.99785,0.69172,0.48009,0.62485,0.37804,1.69561,2.48211,0.9823,0.00994256,0.00956803,0.00956803
4,627.132,1.49253,1.41684,0.98742,0.47529,0.34446,0.42968,0.28739,1.59349,4.83303,0.94679,0.009406,0.009406,0.009406
5,774.031,1.43871,1.25332,0.97211,0.64902,0.33999,0.52414,0.37246,1.38348,1.44251,0.89353,0.009208,0.009208,0.009208
6,992.279,1.35607,1.1551,0.95187,0.83658,0.37154,0.61152,0.44663,1.2465,1.09217,0.8726,0.00901,0.00901,0.00901
7,1148,1.34214,1.0946,0.94717,0.71166,0.36602,0.58466,0.41371,1.28906,1.5678,0.87921,0.008812,0.008812,0.008812
8,1303,1.32073,1.01972,0.94327,0.72652,0.23345,0.49011,0.35044,1.48925,2.92186,0.92351,0.008614,0.008614,0.008614
9,1539.44,1.28574,0.98939,0.92973,0.84684,0.36289,0.61539,0.43558,1.20489,0.86305,0.85483,0.008416,0.008416,0.008416
10,1758.11,1.25133,0.94771,0.92846,0.86304,0.36373,0.61867,0.4525,1.21687,1.11163,0.86582,0.008218,0.008218,0.008218
11,2065.87,1.20693,0.90167,0.92034,0.90183,0.41091,0.65201,0.44635,1.32421,0.77486,0.87901,0.00802,0.00802,0.00802
12,2215.11,1.20186,0.85162,0.91611,0.93326,0.45813,0.67835,0.52311,1.06982,0.70567,0.84517,0.007822,0.007822,0.007822
13,2366.94,1.19499,0.82681,0.91308,0.84509,0.31417,0.58142,0.43413,1.14702,0.9813,0.85034,0.007624,0.007624,0.007624
14,2671.89,1.22131,0.84876,0.91684,0.91802,0.54721,0.73115,0.5258,1.24324,0.72993,0.86478,0.007426,0.007426,0.007426
15,2942.89,1.15919,0.77517,0.90308,0.93459,0.76721,0.85453,0.6343,1.07804,0.67136,0.84342,0.007228,0.007228,0.007228
16,3080.54,1.196,0.80252,0.9143,0.93312,0.58535,0.75507,0.54999,1.12145,0.72889,0.84988,0.00703,0.00703,0.00703
17,3221.28,1.14959,0.76121,0.90555,0.90703,0.70776,0.81871,0.60655,1.12705,0.6765,0.84676,0.006832,0.006832,0.006832
18,3367.81,1.13449,0.73875,0.9004,0.95349,0.61136,0.77472,0.60294,1.02874,0.62431,0.8426,0.006634,0.006634,0.006634
19,3508.3,1.12677,0.69955,0.89981,0.93371,0.90814,0.94202,0.73312,0.98383,0.67647,0.83562,0.006436,0.006436,0.006436
20,3717.99,1.13013,0.7288,0.90178,0.95028,0.87534,0.92345,0.67474,1.15223,0.74169,0.85336,0.006238,0.006238,0.006238
21,3851.69,1.13347,0.7176,0.89644,0.94861,0.92786,0.94446,0.69234,1.10903,0.64834,0.84608,0.00604,0.00604,0.00604
22,3984.2,1.09943,0.67769,0.89668,0.95236,0.93573,0.95157,0.72929,1.03615,0.60353,0.83786,0.005842,0.005842,0.005842
23,4128.56,1.10051,0.67611,0.89594,0.97959,0.82882,0.90441,0.70467,1.00466,0.62401,0.83379,0.005644,0.005644,0.005644
24,4391.34,1.0666,0.64568,0.88981,0.96116,0.93439,0.95387,0.70572,1.13622,0.59102,0.85316,0.005446,0.005446,0.005446
25,4519.16,1.07891,0.64805,0.89001,0.93963,0.94591,0.95499,0.74738,0.9724,0.55837,0.82947,0.005248,0.005248,0.005248
26,4753.74,1.06835,0.64587,0.88638,0.96061,0.9361,0.95341,0.73704,1.02464,0.57929,0.83569,0.00505,0.00505,0.00505
27,4972.88,1.06007,0.63655,0.88728,0.96968,0.92707,0.95135,0.74757,0.9782,0.58772,0.8303,0.004852,0.004852,0.004852
28,5089.96,1.04496,0.622,0.88346,0.95477,0.91857,0.94412,0.73436,1.01432,0.59586,0.83541,0.004654,0.004654,0.004654
29,5316.19,1.04638,0.60485,0.88377,0.95454,0.9477,0.96219,0.74419,1.04692,0.59878,0.8415,0.004456,0.004456,0.004456
30,5583.32,1.0333,0.58866,0.87964,0.96055,0.93612,0.95703,0.74263,1.01598,0.54373,0.83519,0.004258,0.004258,0.004258
31,5768.7,1.02861,0.57856,0.87739,0.9786,0.93984,0.96265,0.75935,0.94622,0.52606,0.82419,0.00406,0.00406,0.00406
