epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.034,2.52454,4.46368,1.24987,0,0,0,0,nan,nan,nan,0.0704348,0.00328502,0.00328502
2,64.7609,1.59379,1.04749,0.93783,0.57092,0.52429,0.57809,0.35311,1.84858,10.2177,0.94041,0.0403037,0.00648731,0.00648731
3,96.6901,1.56196,0.97473,0.92294,0.82731,0.73755,0.79666,0.45606,1.7972,3.20357,0.88175,0.0100407,0.0095576,0.0095576
4,128.597,1.42646,0.89552,0.90638,0.92224,0.84981,0.87163,0.59921,1.41135,1.32593,0.8337,0.009406,0.009406,0.009406
5,160.839,1.3223,0.83009,0.89166,0.7752,0.68186,0.74464,0.49444,1.52754,1.94592,0.83636,0.009208,0.009208,0.009208
6,193.222,1.35373,0.81123,0.89023,0.72299,0.81058,0.76495,0.57627,1.40466,1.77022,0.84261,0.00901,0.00901,0.00901
7,225.817,1.30999,0.77155,0.88102,0.90816,0.86633,0.88331,0.63105,1.25775,1.12336,0.82034,0.008812,0.008812,0.008812
8,258.628,1.28389,0.74405,0.87809,0.9112,0.86744,0.87985,0.56173,1.39713,0.94297,0.82018,0.008614,0.008614,0.008614
9,291.422,1.23007,0.73149,0.87164,0.90637,0.89194,0.90123,0.65545,1.12531,0.74798,0.8043,0.008416,0.008416,0.008416
10,324.404,1.19003,0.70501,0.86354,0.92117,0.87368,0.89498,0.66008,1.17539,0.8685,0.802,0.008218,0.008218,0.008218
11,357.552,1.18866,0.67209,0.86567,0.94355,0.88845,0.91877,0.67782,1.1618,0.7186,0.80206,0.00802,0.00802,0.00802
12,390.69,1.14769,0.64475,0.86108,0.94237,0.91717,0.93724,0.69631,1.05764,0.6443,0.79196,0.007822,0.007822,0.007822
13,423.837,1.12488,0.63473,0.85527,0.9074,0.84095,0.88118,0.68652,1.04241,1.08151,0.7887,0.007624,0.007624,0.007624
14,456.824,1.114,0.6337,0.85584,0.94489,0.90108,0.92614,0.67583,1.17787,0.71616,0.80155,0.007426,0.007426,0.007426
