epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.174,2.21195,2.89908,1.20506,0.89769,0.87525,0.90451,0.4715,1.71947,1.08364,0.94454,0.000368299,0.000368299,0.000368299
2,296.558,1.46299,1.07353,0.94154,0.87767,0.83544,0.9234,0.47561,1.64156,0.93495,0.92534,0.000731319,0.000731319,0.000731319
3,448.816,1.3824,0.95706,0.93004,0.94991,0.9136,0.94907,0.59262,1.36422,0.74301,0.88328,0.00108701,0.00108701,0.00108701
4,601.36,1.40102,0.90082,0.92776,0.95218,0.92975,0.95167,0.58436,1.40827,0.7309,0.88144,0.001078,0.001078,0.001078
5,753.44,1.26295,0.78458,0.89824,0.95012,0.9199,0.94056,0.57764,1.43431,0.71438,0.89073,0.001067,0.001067,0.001067
6,905.58,1.32581,0.79371,0.91462,0.97007,0.92729,0.95644,0.59277,1.4344,0.69621,0.88549,0.00105601,0.00105601,0.00105601
7,1058.32,1.19199,0.7077,0.88695,0.96031,0.92032,0.95727,0.66836,1.16635,0.65266,0.85321,0.00104501,0.00104501,0.00104501
8,1211.48,1.2303,0.68296,0.89208,0.96976,0.94344,0.96698,0.67597,1.16037,0.58365,0.85181,0.00103401,0.00103401,0.00103401
9,1364.8,1.13929,0.65349,0.87671,0.97595,0.93562,0.96177,0.67626,1.14606,0.58924,0.85156,0.00102301,0.00102301,0.00102301
10,1517.4,1.12122,0.65413,0.87402,0.97946,0.93569,0.96179,0.60627,1.48292,0.63372,0.88522,0.00101201,0.00101201,0.00101201
11,1670.18,1.07866,0.63541,0.86952,0.96242,0.94377,0.96618,0.72168,1.00887,0.56867,0.84143,0.00100101,0.00100101,0.00100101
12,1823.29,1.10034,0.64434,0.87194,0.97527,0.93279,0.96471,0.65823,1.19765,0.60057,0.85358,0.000990012,0.000990012,0.000990012
13,1975.97,1.12371,0.6096,0.8768,0.98748,0.94825,0.96891,0.70649,1.1177,0.56589,0.84295,0.000979013,0.000979013,0.000979013
14,2128.39,1.03853,0.58142,0.86224,0.98173,0.95326,0.97398,0.68194,1.19653,0.54125,0.85171,0.000968014,0.000968014,0.000968014
15,2280.98,1.04227,0.59132,0.86205,0.97746,0.94374,0.96693,0.73829,0.94396,0.54104,0.83069,0.000957015,0.000957015,0.000957015
16,2434.09,1.03649,0.59033,0.86084,0.98613,0.94275,0.97053,0.74117,0.97287,0.52632,0.83038,0.000946016,0.000946016,0.000946016
17,2587.1,1.02772,0.5665,0.86003,0.97677,0.94678,0.97046,0.75895,0.92863,0.53092,0.82477,0.000935018,0.000935018,0.000935018
18,2739.85,1.02318,0.5667,0.85763,0.98002,0.95054,0.97363,0.75887,0.9088,0.50855,0.82561,0.000924019,0.000924019,0.000924019
19,2892.45,0.99415,0.54482,0.85511,0.98367,0.95387,0.9741,0.69418,1.18099,0.54494,0.85037,0.00091302,0.00091302,0.00091302
20,3044.82,1.00555,0.54792,0.8546,0.98234,0.95708,0.9748,0.76014,0.92608,0.50113,0.82306,0.000902021,0.000902021,0.000902021
21,3197.44,0.96811,0.53096,0.85402,0.99152,0.95934,0.97592,0.76912,0.91136,0.48971,0.82257,0.000891022,0.000891022,0.000891022
22,3350.18,0.9663,0.53144,0.84902,0.99053,0.95268,0.97384,0.73958,0.98845,0.51857,0.82833,0.000880023,0.000880023,0.000880023
