epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.554,2.3604,3.02509,1.2149,0.77699,0.8997,0.86543,0.48198,1.66581,0.95855,0.94331,0.000368299,0.000368299,0.000368299
2,293.548,1.5668,1.02453,0.93383,0.95696,0.92116,0.94975,0.6008,1.35852,0.85841,0.90659,0.000731319,0.000731319,0.000731319
3,445.14,1.49452,0.93155,0.9211,0.97024,0.92103,0.94993,0.57995,1.33459,0.86486,0.88413,0.00108701,0.00108701,0.00108701
4,597.044,1.38066,0.83081,0.90364,0.97178,0.92783,0.95198,0.52156,1.62973,0.77936,0.92329,0.001078,0.001078,0.001078
5,749.21,1.31205,0.75585,0.89195,0.96805,0.91838,0.95029,0.6409,1.27385,0.69017,0.8735,0.001067,0.001067,0.001067
6,902.256,1.25357,0.72179,0.88102,0.97747,0.95094,0.96818,0.68669,1.13665,0.58929,0.85063,0.00105601,0.00105601,0.00105601
7,1055.24,1.1615,0.66666,0.86698,0.96638,0.93925,0.96275,0.70035,1.06812,0.60973,0.84474,0.00104501,0.00104501,0.00104501
8,1208.13,1.16665,0.66655,0.86774,0.98416,0.93942,0.96488,0.70208,1.08468,0.6049,0.83904,0.00103401,0.00103401,0.00103401
9,1361.15,1.24637,0.69219,0.87709,0.96014,0.94396,0.96212,0.56855,1.54059,0.7041,0.90253,0.00102301,0.00102301,0.00102301
10,1513.8,1.18323,0.64136,0.8727,0.98143,0.94547,0.96959,0.68694,1.11451,0.57103,0.84705,0.00101201,0.00101201,0.00101201
11,1666.74,1.12745,0.61455,0.86061,0.98092,0.94895,0.96974,0.72782,0.99983,0.55519,0.83193,0.00100101,0.00100101,0.00100101
12,1820.14,1.13617,0.63137,0.86237,0.99171,0.94874,0.97379,0.72741,1.03864,0.58669,0.8387,0.000990012,0.000990012,0.000990012
13,1973.24,1.0787,0.6039,0.85149,0.98993,0.94795,0.97075,0.71475,1.08148,0.59007,0.8418,0.000979013,0.000979013,0.000979013
14,2126.11,1.08299,0.59844,0.85026,0.98243,0.95426,0.97345,0.73652,0.98126,0.56042,0.82788,0.000968014,0.000968014,0.000968014
15,2279.2,1.05835,0.60538,0.85224,0.99033,0.94788,0.9672,0.72454,0.97746,0.58211,0.8269,0.000957015,0.000957015,0.000957015
16,2431.95,1.08027,0.60964,0.85057,0.97388,0.96262,0.97265,0.73435,0.97888,0.56458,0.82962,0.000946016,0.000946016,0.000946016
17,2584.78,1.05066,0.59034,0.84693,0.98038,0.95729,0.97227,0.74487,1.00435,0.56187,0.82927,0.000935018,0.000935018,0.000935018
18,2738.04,1.03557,0.58009,0.84672,0.97692,0.95924,0.97377,0.70867,1.15014,0.58293,0.83889,0.000924019,0.000924019,0.000924019
19,2890.63,1.02695,0.57589,0.84406,0.98359,0.95579,0.97463,0.75642,0.90736,0.52609,0.81696,0.00091302,0.00091302,0.00091302
20,3043.73,1.01182,0.57063,0.8406,0.98104,0.96258,0.97576,0.73555,1.00703,0.55092,0.82511,0.000902021,0.000902021,0.000902021
21,3196.53,1.00141,0.55397,0.83783,0.98155,0.96112,0.9752,0.72747,1.06346,0.53432,0.82828,0.000891022,0.000891022,0.000891022
22,3349.27,0.97821,0.5487,0.83603,0.9831,0.9594,0.9766,0.74729,0.94522,0.53312,0.82334,0.000880023,0.000880023,0.000880023
23,3501.85,1.01587,0.55509,0.83818,0.97644,0.96002,0.97592,0.75089,0.90777,0.51177,0.81689,0.000869024,0.000869024,0.000869024
24,3654.47,0.99489,0.5409,0.84022,0.9838,0.96318,0.9769,0.77391,0.90707,0.50272,0.81719,0.000858025,0.000858025,0.000858025
25,3807.68,0.9545,0.53826,0.83361,0.97965,0.95676,0.97596,0.75421,0.9531,0.50835,0.81773,0.000847026,0.000847026,0.000847026
26,3960.44,0.94926,0.52183,0.82952,0.98449,0.96154,0.97893,0.76279,0.91341,0.49544,0.81681,0.000836027,0.000836027,0.000836027
