epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.4164,3.41509,7.01293,1.69872,3e-05,0.00417,2e-05,1e-05,2.28831,4.52737,1.06076,0.000362104,0.000362104,0.000362104
2,57.4728,1.79727,2.70851,0.9986,0.0686,0.86298,0.68443,0.38274,1.57316,3.32992,0.90985,0.000725186,0.000725186,0.000725186
3,86.1034,1.5021,1.90626,0.93904,0.87242,0.60025,0.83234,0.37015,2.05139,2.03609,0.95453,0.00108094,0.00108094,0.00108094
4,114.747,1.47196,1.60951,0.92757,0.8752,0.8381,0.88296,0.60808,1.21485,1.07605,0.85744,0.001078,0.001078,0.001078
5,143.736,1.36594,1.41779,0.90811,0.91837,0.88267,0.90979,0.6293,1.22197,0.84964,0.84969,0.001067,0.001067,0.001067
6,172.699,1.39205,1.2979,0.90635,0.88107,0.85966,0.90631,0.49886,1.68888,0.92304,0.907,0.00105601,0.00105601,0.00105601
7,201.661,1.29234,1.16734,0.89684,0.92802,0.90096,0.92736,0.6526,1.13419,0.81217,0.84266,0.00104501,0.00104501,0.00104501
8,230.75,1.17411,1.04457,0.88013,0.95624,0.91299,0.9357,0.67246,1.07591,0.72508,0.8356,0.00103401,0.00103401,0.00103401
9,259.751,1.19271,0.99933,0.87924,0.95372,0.90485,0.9339,0.67997,1.10032,0.77756,0.83746,0.00102301,0.00102301,0.00102301
10,288.936,1.17927,0.93272,0.87586,0.94768,0.90575,0.92954,0.54233,1.6162,0.84137,0.88556,0.00101201,0.00101201,0.00101201
11,318.01,1.14096,0.89585,0.866,0.93229,0.91327,0.93578,0.56507,1.52599,0.79061,0.863,0.00100101,0.00100101,0.00100101
12,347.081,1.14115,0.85206,0.86585,0.9559,0.93496,0.94559,0.68181,1.14282,0.69057,0.84669,0.000990012,0.000990012,0.000990012
13,376.304,1.09269,0.77991,0.86166,0.96031,0.91549,0.94584,0.71557,1.00903,0.67516,0.82597,0.000979013,0.000979013,0.000979013
14,405.518,1.10816,0.77873,0.8636,0.95913,0.91519,0.94211,0.63666,1.2633,0.69685,0.84387,0.000968014,0.000968014,0.000968014
