epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.9285,2.68585,6.70356,1.39133,0,0,0,0,nan,nan,nan,0.0704412,0.00328431,0.00328431
2,93.3527,1.72911,1.49977,0.99943,0.00041,0.06818,0.00032,0.0001,2.77767,101.918,1.51326,0.0403757,0.00655213,0.00655213
3,139.144,1.63561,1.32785,0.9859,0.42553,0.1488,0.23862,0.05877,3.96376,3.00641,1.91561,0.0102441,0.00975395,0.00975395
4,185.562,1.4998,1.1457,0.95346,0.66688,0.54467,0.69415,0.37486,1.93576,1.89832,0.9836,0.009703,0.009703,0.009703
5,232.496,1.44178,1.03863,0.95145,0.4857,0.51053,0.50714,0.10226,3.35934,2.83608,1.41696,0.009604,0.009604,0.009604
6,279.633,1.42833,0.99207,0.93782,0.85746,0.86688,0.89825,0.60637,1.30224,1.19944,0.88207,0.009505,0.009505,0.009505
7,327.028,1.30182,0.88933,0.91048,0.93956,0.82561,0.91065,0.66221,1.08572,0.83831,0.85585,0.009406,0.009406,0.009406
8,374.657,1.31169,0.909,0.91681,0.8228,0.75353,0.87443,0.58443,1.26703,1.15858,0.88147,0.009307,0.009307,0.009307
9,422.269,1.28837,0.87096,0.91119,0.79862,0.71979,0.80124,0.5406,1.35037,1.36667,0.89447,0.009208,0.009208,0.009208
10,469.785,1.24148,0.82472,0.90069,0.92364,0.87194,0.92955,0.68973,1.03339,0.71042,0.8489,0.009109,0.009109,0.009109
11,517.623,1.22013,0.7767,0.89701,0.95609,0.90017,0.93626,0.68909,1.01456,0.70038,0.84506,0.00901,0.00901,0.00901
12,565.631,1.26012,0.76393,0.91239,0.97007,0.89272,0.92985,0.7007,1.02129,0.66658,0.84253,0.008911,0.008911,0.008911
13,613.62,1.17444,0.74603,0.88705,0.79817,0.84677,0.82006,0.62967,1.06385,2.12237,0.86008,0.008812,0.008812,0.008812
14,661.521,1.19039,0.74589,0.89351,0.95168,0.92637,0.94632,0.68522,1.06398,0.64642,0.85227,0.008713,0.008713,0.008713
15,709.399,1.15399,0.72787,0.88611,0.97511,0.89186,0.94727,0.70788,1.00878,0.65198,0.84423,0.008614,0.008614,0.008614
16,757.554,1.13565,0.71408,0.88488,0.91362,0.89971,0.92922,0.69786,1.09025,0.76134,0.85846,0.008515,0.008515,0.008515
17,805.513,1.13095,0.70714,0.88229,0.88996,0.86956,0.88269,0.56821,1.51931,0.91656,0.91723,0.008416,0.008416,0.008416
18,853.482,1.20299,0.732,0.89921,0.92282,0.88344,0.93156,0.69223,1.03439,0.71321,0.85014,0.008317,0.008317,0.008317
19,901.449,1.13967,0.70649,0.88306,0.97207,0.887,0.93157,0.69621,1.07033,0.65813,0.85466,0.008218,0.008218,0.008218
20,949.509,1.1124,0.68511,0.87217,0.97239,0.93465,0.95736,0.72321,0.99897,0.58895,0.8357,0.008119,0.008119,0.008119
21,997.504,1.11924,0.67235,0.87475,0.96562,0.93122,0.9609,0.7158,0.99425,0.56441,0.84205,0.00802,0.00802,0.00802
22,1045.65,1.08203,0.65783,0.87134,0.96068,0.92025,0.94984,0.70859,0.98281,0.60337,0.83652,0.007921,0.007921,0.007921
23,1093.73,1.13243,0.69262,0.87477,0.94583,0.8902,0.92188,0.65337,1.16612,0.94392,0.86287,0.007822,0.007822,0.007822
24,1141.78,1.05256,0.64003,0.86243,0.97881,0.91618,0.95625,0.75296,0.89828,0.60037,0.82891,0.007723,0.007723,0.007723
25,1190.03,1.14101,0.64243,0.88512,0.97053,0.93105,0.95757,0.70599,1.00848,0.58329,0.84164,0.007624,0.007624,0.007624
26,1238.15,1.08459,0.62278,0.87259,0.9665,0.90795,0.95575,0.72695,0.96946,0.62481,0.83986,0.007525,0.007525,0.007525
27,1286.34,1.05719,0.63123,0.86533,0.96088,0.93005,0.9575,0.71813,1.04411,0.61671,0.84516,0.007426,0.007426,0.007426
28,1334.51,1.09002,0.63317,0.87042,0.9752,0.94507,0.96655,0.75596,0.93132,0.54286,0.8337,0.007327,0.007327,0.007327
29,1382.7,1.05994,0.62573,0.86555,0.97642,0.92251,0.95293,0.71008,1.09024,0.58331,0.8475,0.007228,0.007228,0.007228
30,1430.82,1.06434,0.62692,0.86667,0.98114,0.9522,0.96654,0.74229,0.94437,0.5361,0.83452,0.007129,0.007129,0.007129
31,1478.89,1.03407,0.59612,0.86421,0.95926,0.90159,0.93835,0.70363,1.08514,0.61741,0.84447,0.00703,0.00703,0.00703
32,1527,1.092,0.61114,0.87045,0.97054,0.93702,0.95929,0.70282,1.06074,0.5709,0.84109,0.006931,0.006931,0.006931
33,1575.03,1.01016,0.58959,0.85661,0.98425,0.93639,0.96516,0.70839,1.09673,0.59034,0.84687,0.006832,0.006832,0.006832
34,1623.13,1.00515,0.59431,0.86323,0.93939,0.93818,0.96057,0.68301,1.18946,0.63426,0.86277,0.006733,0.006733,0.006733
35,1671.2,1.03849,0.58936,0.86172,0.97354,0.9358,0.96654,0.63368,1.37396,0.58742,0.87324,0.006634,0.006634,0.006634
36,1719.33,1.05891,0.59578,0.86499,0.9553,0.89312,0.91708,0.69462,1.06078,0.69056,0.84115,0.006535,0.006535,0.006535
37,1767.36,0.99338,0.58172,0.85557,0.98546,0.93876,0.9658,0.71039,1.1366,0.56083,0.8534,0.006436,0.006436,0.006436
38,1815.51,1.02234,0.57529,0.85984,0.96731,0.94643,0.95953,0.7619,0.92065,0.52923,0.83137,0.006337,0.006337,0.006337
